"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Résultats par page"
"%s-%s of %s","%s-%s des %s"
"###","Catalog Module"
"Filter","Filtre"
"View Details","Voir les détails"
"Share on Facebook","Partager sur Facebook"
"Share on Twitter","Partager sur Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Êtes-vous sûr de vouloir quitter cette page? Vous aurez besoin de passer par les étapes de caisse à nouveau."
"Zip/Postal Code","Code postal"
"Discount Codes?","Codes de réduction?"
"###","Customer Module"
"Registration is free and easy!","L'inscription est gratuite et facile!"
"Faster checkout","Paiement plus rapide"
"Save multiple shipping addresses","Enregistrer plusieurs adresses de livraison"
"View and track orders and more","Consulter et suivre les commandes et plus"
"###","Shipment Module"
"Item in your order","Article de votre commande"
"Items in your order","Articles de votre commande"
